Unnamed: 0,name_of_the_fund_lst,aum_funds_individual_lst,nav_funds_individual_lst,Exit_Load_lst,rating_of_funds_individual_lst,minimum_funds_individual_lst,pe,pb,debt_per,equity_per,average_maturity,yield_to_maturity,name_of_the_fund,risk_of_the_fund,type_of_fund,one_year_returns,three_year_returns,five_year_returns,link_of_the_funds
768,HSBC Overnight Fund Direct Growth,₹912.48Cr,"1,125.98",Nil,5,500.0,,,100.0001,0.0,0.24999945,4.22,HSBC Overnight Fund Direct Growth,Low,Debt,3.63,3.72,,https://groww.in/mutual-funds/hsbc-overnight-fund-direct-growth
769,Principal Retirement Savings Fund Conservative Plan Direct Growth,₹1.26Cr,13.51,Nil,,1.26,27.08066318,3.09234439,73.97,26.03,0.0,0.0,Principal Retirement Savings Fund Conservative Plan Direct Growth,Moderately High,Solution Oriented,6.05,3.7,6.09,https://groww.in/mutual-funds/principal-asset-allocation-fund-of-funds-conservative-plan-direct-growth
770,Nippon India Overnight Fund Direct Growth,"₹10,290.05Cr",115.54,Nil,3,100.0,,,100.0,0.0,1.00000145,4.14,Nippon India Overnight Fund Direct Growth,Low,Debt,3.6,3.7,,https://groww.in/mutual-funds/nippon-india-overnight-fund-direct-growth
771,Baroda BNP Paribas Overnight Fund Direct Growth,₹475.01Cr,"1,130.26",Nil,4,500.0,,,100.0,0.0,1.1320402,4.19306116,Baroda BNP Paribas Overnight Fund Direct Growth,Low,Debt,3.57,3.7,,https://groww.in/mutual-funds/baroda-bnp-paribas-overnight-fund-direct-growth
772,Axis Overnight Fund Direct Growth,"₹11,356.56Cr","1,137.96",Nil,4,11356.56,,,100.0,0.0,1.00000145,4.66124934,Axis Overnight Fund Direct Growth,Low,Debt,3.6,3.69,,https://groww.in/mutual-funds/axis-overnight-fund-direct-growth
773,LIC MF Overnight Fund Direct Growth,₹588.58Cr,"1,115.76",Nil,4,588.58,,,100.0,0.0,1.1100015,4.69,LIC MF Overnight Fund Direct Growth,Low,Debt,3.61,3.69,,https://groww.in/mutual-funds/lic-mf-overnight-fund-direct-growth
774,UTI Overnight Fund Direct Growth,"₹5,932.67Cr","2,946.30",Nil,3,500.0,,,100.0,0.0,1.095,3.91,UTI Overnight Fund Direct Growth,Low,Debt,3.58,3.69,4.46,https://groww.in/mutual-funds/uti-g-sec-short-term-plan-direct-growth
775,Aditya Birla Sun Life Overnight Fund Direct Growth,"₹12,067.00Cr","1,164.04",Nil,4,12067.0,,,99.99999996,0.0,1.00000145,4.68,Aditya Birla Sun Life Overnight Fund Direct Growth,Low,Debt,3.59,3.68,,https://groww.in/mutual-funds/aditya-birla-sun-life-overnight-fund-direct-growth
776,Tata Overnight Fund Direct Growth,"₹3,651.65Cr","1,135.40",Nil,3,500.0,,,99.99999999,0.0,1.00000145,4.18062871,Tata Overnight Fund Direct Growth,Low,Debt,3.57,3.68,,https://groww.in/mutual-funds/tata-overnight-fund-direct-growth
777,Sundaram Overnight Fund Direct Growth,₹535.39Cr,"1,143.81",Nil,2,535.39,,,100.0,0.0,,4.7,Sundaram Overnight Fund Direct Growth,Low,Debt,3.54,3.68,,https://groww.in/mutual-funds/sundaram-overnight-fund-direct-growth
778,Nippon India Credit Risk Fund Direct Growth,"₹1,021.84Cr",29.93,Exit load of 1% if units in excess of 10% are redeemed within 12 months,3,100.0,,,100.00450166,0.0,795.7,8.08,Nippon India Credit Risk Fund Direct Growth,High,Debt,4.79,3.67,4.36,https://groww.in/mutual-funds/nippon-india-credit-risk-fund-direct-growth
779,L&amp;T Overnight Fund Direct Growth,"₹2,088.23Cr","1,678.91",Nil,3,2088.23,,,100.0,0.0,0.73,4.24,L&amp;T Overnight Fund Direct Growth,Low,Debt,3.57,3.67,4.71,https://groww.in/mutual-funds/l-t-cash-fund-direct-growth
780,JM Short Term Plan Direct Growth,₹29.87Cr,26.96,Nil,2,29.87,0.0,0.0,100.0,0.0,1096.46,4.47,JM Short Term Plan Direct Growth,Moderate,Debt,4.45,3.67,5.61,https://groww.in/mutual-funds/jm-short-term-fund-direct-growth
781,IIFL Liquid Fund Direct Growth,₹994.60Cr,"1,661.27","Exit load of 0.0070% if redeemed within 1 day, 0.0065% if redeemed within 2 days, 0.0060% if redeemed within 3 days, 0.0055% if redeemed within 4 days, 0.0050% if redeemed within 5 days, 0.0045% if redeemed within 6 days.",1,994.6,,,99.99999987,0.0,32.9449,5.002,IIFL Liquid Fund Direct Growth,Low to Moderate,Debt,3.56,3.66,4.85,https://groww.in/mutual-funds/iifl-liquid-fund-direct-growth
782,IDFC Overnight Fund Direct Growth,"₹3,540.58Cr","1,147.89",Nil,3,3540.58,,,100.0,0.0,1.00000145,4.68,IDFC Overnight Fund Direct Growth,Low,Debt,3.57,3.66,,https://groww.in/mutual-funds/idfc-overnight-fund-direct-growth
783,Kotak Overnight Fund Direct Growth,"₹11,690.36Cr","1,147.96",Nil,3,11690.36,,,100.0,0.0,1.168,4.1758,Kotak Overnight Fund Direct Growth,Low,Debt,3.57,3.66,,https://groww.in/mutual-funds/kotak-overnight-fund-direct-growth
784,Motilal Oswal Liquid Fund Direct Growth,₹563.36Cr,11.53,"Exit load of 0.0070% if redeemed within 1 day, 0.0065% if redeemed within 2 days, 0.0060% if redeemed within 3 days, 0.0055% if redeemed within 4 days, 0.0050% if redeemed within 5 days, 0.0045% if redeemed within 6 days.",1,500.0,,,99.99999994999999,0.0,45.14999995,4.74,Motilal Oswal Liquid Fund Direct Growth,Low to Moderate,Debt,3.48,3.66,,https://groww.in/mutual-funds/motilal-oswal-liquid-fund-direct-growth
785,ICICI Prudential Overnight Fund Direct Growth,"₹13,780.90Cr",116.03,Nil,3,500.0,,,99.99999996,0.0,1.2999986,4.18,ICICI Prudential Overnight Fund Direct Growth,Low,Debt,3.56,3.65,,https://groww.in/mutual-funds/icici-prudential-overnight-fund-direct-growth
786,SBI Overnight Fund Direct Growth,"₹27,285.59Cr","3,504.22",Nil,3,27285.59,,,100.0,0.0,1.00000145,4.16,SBI Overnight Fund Direct Growth,Low,Debt,3.56,3.65,4.64,https://groww.in/mutual-funds/sbi-magnum-insta-cash-fund-liquid-floater-direct-growth
787,ITI Liquid Fund Direct Growth,₹41.06Cr,"1,129.42","Exit load of 0.0070% if redeemed within 1 day, 0.0065% if redeemed within 2 days, 0.0060% if redeemed within 3 days, 0.0055% if redeemed within 4 days, 0.0050% if redeemed within 5 days, 0.0045% if redeemed within 6 days.",1,500.0,,,100.0,0.0,28.00000045,4.52,ITI Liquid Fund Direct Growth,Low,Debt,3.6,3.64,,https://groww.in/mutual-funds/iti-liquid-fund-direct-growth
788,Union Overnight Fund Direct Growth,₹93.45Cr,"1,133.22",Nil,3,93.45,,,100.0,0.0,1.2500009,4.23,Union Overnight Fund Direct Growth,Low,Debt,3.58,3.63,,https://groww.in/mutual-funds/union-overnight-fund-direct-growth
789,HDFC Overnight Fund Direct Plan Growth,"₹18,602.96Cr","3,196.28",Nil,2,18602.96,,,100.0,0.0,2.486471249999999,4.68167559,HDFC Overnight Fund Direct Plan Growth,Low,Debt,3.54,3.63,4.61,https://groww.in/mutual-funds/hdfc-cash-management-fund-call-plan-direct-growth
790,Indiabulls Overnight Fund Direct Growth,₹36.30Cr,"1,114.75",Nil,1,500.0,,,99.99999999,0.0,1.00000145,4.08,Indiabulls Overnight Fund Direct Growth,Low,Debt,3.49,3.6,,https://groww.in/mutual-funds/indiabulls-overnight-fund-direct-growth
791,Franklin India Overnight Fund Direct Growth,₹186.92Cr,"1,123.96",Nil,2,500.0,,,100.0,0.0,1.00000145,4.161367,Franklin India Overnight Fund Direct Growth,Low,Debt,3.53,3.59,,https://groww.in/mutual-funds/franklin-india-overnight-fund-direct-growth
792,Indiabulls Arbitrage Fund Direct Growth,₹14.17Cr,15.35,Exit load of 0.25% if redeemed within 1 month,2,14.17,18.79189261,3.33107069,99.92614562,0.07385437,,,Indiabulls Arbitrage Fund Direct Growth,Low,Hybrid,2.62,3.58,4.77,https://groww.in/mutual-funds/indiabulls-arbitrage-fund-direct-growth
793,Taurus Dynamic Income Fund Direct Growth,₹3.09Cr,15.53,Exit load of 1% if redeemed within 90 days,1,3.09,0.0,0.0,100.0,0.0,1.095,5.67,Taurus Dynamic Income Fund Direct Growth,Moderate,Debt,9.64,3.53,4.36,https://groww.in/mutual-funds/taurus-dynamic-i-come-fund-direct-growth
794,UTI Medium Term Fund Direct Growth,₹59.60Cr,15.70,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",3,500.0,,,99.99999993,0.0,1095.511,7.1272,UTI Medium Term Fund Direct Growth,Moderate,Debt,5.55,3.53,4.65,https://groww.in/mutual-funds/uti-medium-term-fund-direct-growth
795,Principal Dynamic Bond Fund Direct Growth,₹28.03Cr,33.65,"Exit load of 1%, if redeemed within 1 year.",2,28.03,0.0,0.0,100.0,0.0,1525.7,5.30294486,Principal Dynamic Bond Fund Direct Growth,Moderate,Debt,7.81,3.47,6.16,https://groww.in/mutual-funds/principal-dynamic-bond-fund-direct-growth
796,Bank of India Arbitrage Fund Direct Growth,₹17.10Cr,11.86,Exit load of 0.50% if redeemed within 30 days.,2,17.1,14.97607896,2.52113627,99.83000000000001,0.17,32.85,4.65,Bank of India Arbitrage Fund Direct Growth,Low,Hybrid,2.47,3.46,,https://groww.in/mutual-funds/boi-axa-arbitrage-fund-direct-growth
797,JM Arbitrage Fund Direct Growth,₹48.30Cr,28.31,0.50% for redemption within 30 days,1,500.0,18.8403592,3.77718941,45.54734426,54.45265562,,,JM Arbitrage Fund Direct Growth,Low,Hybrid,3.47,3.45,4.45,https://groww.in/mutual-funds/jm-arbitrage-advantage-fund-direct-growth
798,Nippon India Nivesh Lakshya Fund Direct Growth,"₹1,913.46Cr",13.84,"For units above 20%, 1% will be charged if redeemed within 36 months.",,100.0,,,100.0011393,0.0,8132.200000000001,7.58,Nippon India Nivesh Lakshya Fund Direct Growth,Moderate,Debt,1.11,3.45,,https://groww.in/mutual-funds/nippon-india-nivesh-lakshya-fund-direct-growth
799,DSP 10Y G Sec Fund Direct Growth,₹57.26Cr,17.43,Nil,,500.0,,,100.0,0.0,3398.15,7.31,DSP 10Y G Sec Fund Direct Growth,Moderate,Debt,-2.84,3.42,4.8,https://groww.in/mutual-funds/dsp-blackrock-constant-maturity-10y-g-sec-fund-direct-growth
800,Baroda Dynamic Bond Direct Growth,₹18.32Cr,19.93,Exit load of 0.25% if redeemed within 1 months,1,18.32,,,100.0,0.0,1901.65,6.02598877,Baroda Dynamic Bond Direct Growth,Moderate,Debt,4.29,3.17,4.61,https://groww.in/mutual-funds/baroda-pioneer-dynamic-bond-fund-direct-growth
801,JM Medium to Long Duration Fund Direct Growth,₹21.04Cr,55.18,Nil,1,500.0,,,99.99999998,0.0,1854.784,7.04,JM Medium to Long Duration Fund Direct Growth,Moderate,Debt,0.7,3.16,2.44,https://groww.in/mutual-funds/jm-i-come-direct-growth
802,UTI Focussed Equity Fund Series I (2195 Days) Direct Growth,₹100.48Cr,15.37,Nil,,100.48,31.45367903,3.33043609,7.407407407407406,92.5925925925926,,,UTI Focussed Equity Fund Series I (2195 Days) Direct Growth,Moderately High,Equity,14.03,2.93,8.87,https://groww.in/mutual-funds/uti-focussed-equity-fund-series-i-direct-growth
803,Edelweiss Emerging Markets Opportunities Equity Offshore Fund Direct Growth,₹115.30Cr,13.85,Exit load of 1% if redeemed within 12 months.,,500.0,,,1.31,98.69,,,Edelweiss Emerging Markets Opportunities Equity Offshore Fund Direct Growth,Very High,Other,-25.58,2.06,4.56,https://groww.in/mutual-funds/edelweiss-emerging-markets-opportunities-equity-offshore-fund-direct
804,Nippon India Hybrid Bond Fund Direct Growth,₹717.97Cr,48.06,"For units in excess of 10% of the investment, 1% will be charged for redemption within 12 months.",1,100.0,19.85815987,2.98557237,89.12061284,10.88,715.4,8.78,Nippon India Hybrid Bond Fund Direct Growth,High,Hybrid,6.03,1.73,2.75,https://groww.in/mutual-funds/nippon-india-hybrid-bond-fund-direct-growth
805,Edelweiss ASEAN Equity Off Shore Fund Direct Growth,₹60.70Cr,23.74,Exit load of 1% if redeemed within 12 months,,500.0,,,1.24,98.76,,,Edelweiss ASEAN Equity Off Shore Fund Direct Growth,Very High,Other,-3.13,1.11,4.75,https://groww.in/mutual-funds/edelweiss-asean-equity-offshore-fund-direct
806,DSP World Gold Fund Direct Plan Growth,₹711.71Cr,14.24,Nil,,500.0,,,1.29,98.71,,,DSP World Gold Fund Direct Plan Growth,Very High,Other,-25.38,1.04,3.11,https://groww.in/mutual-funds/dsp-blackrock-world-gold-fund-direct-growth
807,Edelweiss Corporate Bond Fund Direct Growth,₹4.18Cr,13.84,Nil,1,500.0,,,100.0,0.0,222.65,4.41,Edelweiss Corporate Bond Fund Direct Growth,Low to Moderate,Debt,-0.73,0.85,3.32,https://groww.in/mutual-funds/edelweiss-corporate-debt-opportunities-fund-direct-growth
808,Aditya Birla Sun Life Global Excellence Equity FoF Retail Direct Growth,₹141.81Cr,20.77,0.25% for redemption within 28 days,,141.81,,,2.284682219999999,97.71531778,,,Aditya Birla Sun Life Global Excellence Equity FoF Retail Direct Growth,Very High,Other,-14.55,0.76,3.41,https://groww.in/mutual-funds/birla-sun-life-global-real-estate-fund-direct-growth
809,Franklin India Life Stage FoF The 50s Plus Direct Plan Growth,₹13.94Cr,38.67,Exit load of 1% if redeemed within 1 year,1,13.94,16.43548502,2.62680473,81.44477932999999,18.455359,,,Franklin India Life Stage FoF The 50s Plus Direct Plan Growth,Moderate,Other,6.61,0.71,2.75,https://groww.in/mutual-funds/franklin-india-life-stage-50s-plus-plan-direct-growth
810,Nippon India Equity Savings Fund Direct Growth,₹200.34Cr,13.09,"For units in excess of 10% of the investment,1% will be charged for redemption within 1 month.",1,100.0,13.41411641,2.0896022,62.89355678,37.10644164,211.7,4.92,Nippon India Equity Savings Fund Direct Growth,Low to Moderate,Hybrid,3.01,0.28,1.01,https://groww.in/mutual-funds/nippon-india-equity-savings-fund-direct-growth
811,Franklin India Feeder Templeton European Opportunities Fund Direct Growth,₹19.38Cr,9.44,Exit load of 1% if redeemed within one year.,,19.38,,,1.21232959,98.7876704,,,Franklin India Feeder Templeton European Opportunities Fund Direct Growth,Very High,Other,4.64,-0.44,1.28,https://groww.in/mutual-funds/ft-india-feeder-franklin-european-growth-fund-direct-growth
812,PGIM India Emerging Markets Equity Fund Direct Growth,₹155.89Cr,13.67,0.5% for redemption within 90 days,,155.89,,,1.93999999,98.06,,,PGIM India Emerging Markets Equity Fund Direct Growth,Very High,Other,-38.87,-1.71,0.42,https://groww.in/mutual-funds/pgim-india-emerging-markets-equity-fund-direct-growth
813,Nippon India Strategic Debt Fund Direct Growth,₹190.40Cr,13.31,Exit load of 1% if redeemed within 12 months,1,100.0,,,100.00283606,0.0,857.75,5.94,Nippon India Strategic Debt Fund Direct Growth,Very High,Debt,1.94,-3.13,-0.87,https://groww.in/mutual-funds/nippon-india-strategic-debt-fund-direct-growth
814,UTI Credit Risk Fund Direct Growth,₹504.64Cr,15.34,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",2,500.0,,,99.99999985,0.0,838.8794999999999,7.2604,UTI Credit Risk Fund Direct Growth,Moderately High,Debt,20.56,-4.76,-0.97,https://groww.in/mutual-funds/uti-i-come-opportunities-fund-direct-growth
815,Baroda Treasury Advantage Direct Fund Growth,₹27.92Cr,"1,644.47",Nil,1,27.92,,,100.0,0.0,222.65,3.9962629,Baroda Treasury Advantage Direct Fund Growth,Low to Moderate,Debt,3.96,-9.24,-2.95,https://groww.in/mutual-funds/baroda-pioneer-treasury-advantage-fund-plan-b-direct-growth
816,HSBC Brazil Direct Plan Growth,₹25.84Cr,6.10,Exit load of 1% if redeemed within 1 year,,500.0,,,0.62,99.38,,,HSBC Brazil Direct Plan Growth,Very High,Other,-29.33,-14.35,-3.12,https://groww.in/mutual-funds/hsbc-brazil-fund-direct-growth
817,Motilal Oswal MSCI EAFE Top 100 Select Index Fund Direct Growth,₹36.72Cr,9.23,"Exit load of 1%, if redeemed within 15 days.",,36.72,12.82901919,1.59858595,1.568192,98.43180752,,,Motilal Oswal MSCI EAFE Top 100 Select Index Fund Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/motilal-oswal-msci-eafe-top-100-select-index-fund-direct-growth
818,Axis Global Innovation FoF Direct Growth,"₹1,227.50Cr",8.55,"For units in excess of 10% of the investment, 1% will be charged for redemption within 12 months.",,1227.5,,,2.39,97.61,,,Axis Global Innovation FoF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/axis-global-innovation-fof-direct-growth
819,Axis Global Equity Alpha FoF Direct Growth,"₹1,127.66Cr",11.90,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",,1127.66,,,2.38,97.62,,,Axis Global Equity Alpha FoF Direct Growth,Very High,Other,17.19,,,https://groww.in/mutual-funds/axis-global-equity-alpha-fund-of-fund-direct-growth
820,SBI Fixed Maturity Plan Series 58 (1842 Days) Direct Growth,₹202.16Cr,9.98,Nil,,202.16,,,100.0,0.0,,,SBI Fixed Maturity Plan Series 58 (1842 Days) Direct Growth,Moderate,Debt,,,,https://groww.in/mutual-funds/sbi-fixed-maturity-plan-series-58-(1842-days)-direct-growth
821,Principal Midcap Fund Direct Growth,₹450.48Cr,18.61,"For units in excess of 24% of the investment,1% will be charged for redemption within 365 days",,450.48,27.3904767,3.00314102,0.68,99.32,,,Principal Midcap Fund Direct Growth,Moderately High,Equity,49.1,,,https://groww.in/mutual-funds/principal-midcap-fund-direct-growth
822,Sundaram Equity Fund Direct Growth,₹828.43Cr,17.33,"For units more than 25% of the investments, an exit load of 1% if redeemed within 365 days.",,828.43,28.49036351,3.13227422,1.7801194,98.2198805,,,Sundaram Equity Fund Direct Growth,Very High,Equity,41.42,,,https://groww.in/mutual-funds/sundaram-equity-fund-direct-growth
823,Mirae Asset S&amp;P 500 Top 50 ETF FoF Direct Growth,₹342.82Cr,9.46,Exit load of 0.50% if redeemed within 3 months.,,342.82,20.09943079,4.5725609,-0.29627764,100.296278,,,Mirae Asset S&amp;P 500 Top 50 ETF FoF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/mirae-asset-s-p-500-top-50-etf-fof-direct-growth
824,ICICI Prudential Strategic Metal and Energy Equity FoF Direct Growth,₹71.64Cr,11.12,Exit load of 1% if redeemed within 1 year.,,100.0,,,0.73278357,99.26721643,,,ICICI Prudential Strategic Metal and Energy Equity FoF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/icici-prudential-strategic-metal-and-energy-equity-fof-direct-growth
825,Mirae Asset NYSE FANG+ ETF FoF Direct Growth,₹734.69Cr,8.65,Exit load of 0.50% if redeemed within 3 months.,,734.69,25.19545788,4.61039145,0.02919369,99.970806,,,Mirae Asset NYSE FANG+ ETF FoF Direct Growth,Very High,Other,-24.61,,,https://groww.in/mutual-funds/mirae-asset-nyse-fang-plus-etf-fof-direct-growth
826,Kotak Global Innovation FoF Direct Growth,"₹1,084.95Cr",7.03,Exit load of 1% if redeemed within 1 year.,,1084.95,,,0.86,99.14,,,Kotak Global Innovation FoF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/kotak-global-innovation-fof-direct-growth
827,ICICI Prudential Passive Multi Asset FoF Direct Growth,₹826.43Cr,9.83,Exit load of 1% if redeemed within 12 months.,,100.0,17.1308073,2.54931729,34.7021158,55.00276401,,,ICICI Prudential Passive Multi Asset FoF Direct Growth,High,Other,,,,https://groww.in/mutual-funds/icici-prudential-passive-multi-asset-fof-direct-growth
828,DSP Global Innovation FoF Direct Growth,₹222.45Cr,8.47,Nil,,500.0,,,5.15921288,94.84078711,,,DSP Global Innovation FoF Direct Growth,Very High,Other,,,,https://groww.in/mutual-funds/dsp-global-innovation-fof-direct-growth
829,Tata Multi Asset Opportunities Fund Direct Growth,"₹1,325.71Cr",15.68,"For units more than 12% of the investments, an exit load of 1% if redeemed within 365 days.",,150.0,17.92045256,2.4696124,41.12823942,57.44658884,347.036598,5.53459792,Tata Multi Asset Opportunities Fund Direct Growth,Very High,Hybrid,5.28,,,https://groww.in/mutual-funds/tata-multi-asset-opportunities-fund-direct-growth
830,Mahindra Manulife Overnight Fund Direct Growth,₹169.02Cr,"1,114.12",Nil,4,169.02,,,100.0,0.0,1.11802785,4.74775641,Mahindra Manulife Overnight Fund Direct Growth,Low,Debt,3.62,,,https://groww.in/mutual-funds/mahindra-overnight-fund-direct-growth
831,Sundaram Equity Fund Direct Growth,₹828.43Cr,17.33,"For units more than 25% of the investments, an exit load of 1% if redeemed within 365 days.",,828.43,28.49036351,3.13227422,1.7801194,98.2198805,,,Sundaram Equity Fund Direct Growth,Very High,Equity,41.42,,,https://groww.in/mutual-funds/sundaram-equity-fund-direct-growth
832,IDFC Emerging Businesses Fund Direct Growth,"₹1,301.83Cr",21.00,"Exit load of 1%, if redeemed within 1 year.",,100.0,22.15705834,3.35713987,5.34,94.66,,,IDFC Emerging Businesses Fund Direct Growth,Very High,Equity,-4.42,,,https://groww.in/mutual-funds/idfc-emerging-businesses-fund-direct-growth
833,Mahindra Manulife Hybrid Equity Nivesh Yojana Direct Growth,₹461.70Cr,17.17,"For units more than 10% of the investments, an exit load of 1% if redeemed within 12 months.",1,500.0,19.39024508,2.92554089,27.28,72.72,837.3977934500001,6.24762602,Mahindra Manulife Hybrid Equity Nivesh Yojana Direct Growth,Moderately High,Hybrid,6.56,,,https://groww.in/mutual-funds/mahindra-hybrid-equity-nivesh-yojana-direct-growth
834,ITI Small Cap Fund Direct Growth,₹363.24Cr,13.77,"Exit load of 1%, if redeemed within 12 months.",,500.0,13.89304885,2.10500968,1.82,98.18,,,ITI Small Cap Fund Direct Growth,Very High,Equity,-16.45,,,https://groww.in/mutual-funds/iti-small-cap-fund-direct-growth
835,Mirae Asset Banking and PSU Debt Fund Direct Growth,₹113.75Cr,10.68,Nil,3,113.75,,,99.99999989,0.0,448.95,6.25,Mirae Asset Banking and PSU Debt Fund Direct Growth,Low to Moderate,Debt,2.45,,,https://groww.in/mutual-funds/mirae-asset-banking-and-psu-debt-fund-direct-growth
836,Invesco India Focused 20 Equity Fund Direct Growth,"₹1,527.71Cr",14.56,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",,500.0,25.47845692,3.53432436,9.56,90.44,,,Invesco India Focused 20 Equity Fund Direct Growth,Very High,Equity,2.1,,,https://groww.in/mutual-funds/invesco-india-focused-20-equity-fund-direct-growth
837,TRUSTMF Banking &amp; PSU Debt Fund Direct Growth,₹482.72Cr,"1,046.71",Nil,,482.72,,,99.99952675,0.0,1449.05,7.14,TRUSTMF Banking &amp; PSU Debt Fund Direct Growth,Moderate,Debt,2.23,,,https://groww.in/mutual-funds/trust-mf-banking-psu-debt-fund-direct-growth
838,SBI Retirement Benefit Fund Conservative Hybrid Plan Direct Growth,₹180.88Cr,11.36,Nil,,500.0,27.09519282,3.75059716,60.92,39.08,3000.3,7.11,SBI Retirement Benefit Fund Conservative Hybrid Plan Direct Growth,High,Solution Oriented,5.35,,,https://groww.in/mutual-funds/sbi-retirement-benefit-fund-conservative-hybrid-plan-direct-growth
839,Mahindra Manulife Short Term Fund Direct Growth,₹80.73Cr,10.57,Nil,,500.0,,,100.0,0.0,709.3640023,6.60941555,Mahindra Manulife Short Term Fund Direct Growth,Moderate,Debt,3.09,,,https://groww.in/mutual-funds/mahindra-manulife-short-term-fund-direct-growth
840,Mahindra Manulife Ultra Short Term Fund Direct Growth,₹216.83Cr,"1,141.92",Nil,3,500.0,,,100.0,0.0,126.38408605,6.00808127,Mahindra Manulife Ultra Short Term Fund Direct Growth,Moderately Low,Debt,3.77,,,https://groww.in/mutual-funds/mahindra-ultra-short-term-yojana-direct-growth
841,Mahindra Manulife Arbitrage Yojana Direct Growth,₹23.09Cr,10.69,"Exit load of 0.25%, if redeemed within 30 days.",5,500.0,12.85546637,2.42768892,99.88,0.12,1.00000145,4.69,Mahindra Manulife Arbitrage Yojana Direct Growth,Low,Hybrid,3.3,,,https://groww.in/mutual-funds/mahindra-manulife-arbitrage-yojana-direct-growth
842,Mirae Asset Nifty 100 ESG Sector Leaders FoF Direct Growth,₹127.11Cr,12.23,Exit load of 0.05% if redeemed within 5 days.,,127.11,20.19854842,3.26280633,0.65559997,99.3444,,,Mirae Asset Nifty 100 ESG Sector Leaders FoF Direct Growth,Very High,Other,1.86,,,https://groww.in/mutual-funds/mirae-asset-esg-sector-leaders-fund-of-fund-direct-growth
843,Nippon India Asset Allocator FoF Direct Growth,₹92.93Cr,12.25,"For units in excess of 10% of the investment, 1% will be charged for redemption within 12 Months.",,100.0,18.62329627,2.75399155,35.25327353,43.376541,,,Nippon India Asset Allocator FoF Direct Growth,High,Other,4.6,,,https://groww.in/mutual-funds/nippon-india-asset-allocator-fof-direct-growth
844,IDFC CRISIL Gilt 2028 Index Fund Direct Growth,"₹1,727.53Cr",10.40,Nil,,1727.53,,,100.0,0.0,2003.85,7.35,IDFC CRISIL Gilt 2028 Index Fund Direct Growth,Moderate,Other,1.54,,,https://groww.in/mutual-funds/idfc-gilt-2028-index-fund-direct-growth
845,Invesco India Medium Duration Fund Direct Growth,₹460.08Cr,"1,022.03",Nil,,460.08,,,100.0,0.0,1303.05,7.23,Invesco India Medium Duration Fund Direct Growth,Moderate,Debt,2.15,,,https://groww.in/mutual-funds/invesco-india-medium-duration-fund-direct-growth
846,Union Equity Savings Fund Direct Growth,₹157.42Cr,13.28,1% exit load if redeemed within 15 days.,3,157.42,17.71330377,2.57068127,66.94247748000001,33.06,175.2,5.23,Union Equity Savings Fund Direct Growth,Moderate,Hybrid,2.15,,,https://groww.in/mutual-funds/union-equity-savings-fund-direct-growth
847,Tata Banking &amp; PSU Debt Fund Direct Growth,₹288.93Cr,11.86,Nil,2,150.0,,,100.0,0.0,653.1018109500001,6.48742191,Tata Banking &amp; PSU Debt Fund Direct Growth,Low to Moderate,Debt,2.87,,,https://groww.in/mutual-funds/tata-banking-psu-debt-fund-direct-growth
848,Aditya Birla Sun Life PSU Equity Fund Direct Growth,₹788.01Cr,14.68,Exit load of 1% if redeemed within 30 days.,,500.0,7.37081348,1.20646497,4.13592808,95.86406618,,,Aditya Birla Sun Life PSU Equity Fund Direct Growth,Very High,Equity,9.96,,,https://groww.in/mutual-funds/aditya-birla-sun-life-psu-equity-fund-direct-growth
849,Parag Parikh Tax Saver Fund Direct Growth,₹617.75Cr,18.62,Nil,,617.75,16.68167109,1.53004995,13.72,86.28,,,Parag Parikh Tax Saver Fund Direct Growth,Moderately High,Equity,7.75,,,https://groww.in/mutual-funds/parag-parikh-tax-saver-fund-direct-growth
850,Mirae Asset Midcap Fund Direct Growth,"₹7,173.23Cr",21.07,Exit load of 1% if redeemed within 1 year.,,7173.23,17.65498204,2.56953233,0.36206104,99.63793867,,,Mirae Asset Midcap Fund Direct Growth,Moderately High,Equity,6.82,,,https://groww.in/mutual-funds/mirae-asset-midcap-fund-direct-growth
851,Kotak Pioneer Fund Direct Growth,"₹1,508.08Cr",17.41,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",,1508.08,34.17992098,4.37041805,2.23,97.77,,,Kotak Pioneer Fund Direct Growth,Very High,Equity,0.99,,,https://groww.in/mutual-funds/kotak-pioneer-fund-direct-growth
852,Tata Focused Equity Fund Direct Growth,"₹1,118.08Cr",14.71,"For units in excess of 12% of the investment,1% will be charged for redemption within 365 Days.",,150.0,18.24571011,2.71227338,3.02999999,96.96,,,Tata Focused Equity Fund Direct Growth,Very High,Equity,4.43,,,https://groww.in/mutual-funds/tata-focused-equity-fund-direct-growth
